location_id,building_code,floor,location_kind,room_code,aliases,name_th,category,map_asset_id,x,y,detail_th,landmarks,source_node_id,source_x,source_y,flags
LC3-F1-R123-1,LC3,1,room,LC3-123/1,LC3-123/1|LC3_123/1|123/1,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,lc3-floor-1,887,548,อาคาร LC3 ชั้น 1 ห้อง 123/1 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:LC3-F1-PRFTOILET:9|near_stairs:LC3-F1-PSTAIR-3:8,LC3_123/1,847,508,
LC3-F1-R124-1,LC3,1,room,LC3-124/1,LC3-124/1|LC3_124/1|124/1,ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,research_room,lc3-floor-1,954,533,อาคาร LC3 ชั้น 1 ห้อง 124/1 — ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,near_toilet:LC3-F1-PRFTOILET:9|near_stairs:LC3-F1-PSTAIR-3:8,LC3_124/1,914,493,
LC3-F1-R124-2,LC3,1,room,LC3-124/2,LC3-124/2|LC3_124/2|124/2,ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,research_room,lc3-floor-1,954,466,อาคาร LC3 ชั้น 1 ห้อง 124/2 — ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,near_toilet:LC3-F1-PRFTOILET:8|near_stairs:LC3-F1-PSTAIR-3:7,LC3_124/2,914,426,
LC3-F1-R125,LC3,1,room,LC3-125,LC3-125|LC3_125|125,,unknown,lc3-floor-1,1037,668,อาคาร LC3 ชั้น 1 ห้อง 125,near_toilet:LC3-F1-PRFTOILET:12|near_stairs:LC3-F1-PSTAIR-3:11,LC3_125,997,628,needs_field_validation
LC3-F1-R125-1,LC3,1,room,LC3-125/1,LC3-125/1|LC3_125/1|125/1,ห้องเก็บของ,storage,lc3-floor-1,1038,633,อาคาร LC3 ชั้น 1 ห้อง 125/1 — ห้องเก็บของ,near_toilet:LC3-F1-PRFTOILET:13|near_stairs:LC3-F1-PSTAIR-3:12,LC3_125/1,998,593,
LC3-F1-R126,LC3,1,room,LC3-126,LC3-126|LC3_126|126,,unknown,lc3-floor-1,1127,668,อาคาร LC3 ชั้น 1 ห้อง 126,near_toilet:LC3-F1-PRFTOILET:12|near_stairs:LC3-F1-PSTAIR-3:11,LC3_126,1087,628,needs_field_validation
LC3-F1-R127,LC3,1,room,LC3-127,LC3-127|LC3_127|127,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,lc3-floor-1,1051,517,อาคาร LC3 ชั้น 1 ห้อง 127 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:LC3-F1-PRFTOILET:10|near_stairs:LC3-F1-PSTAIR-3:9,LC3_127,1011,477,
LC3-F1-R128,LC3,1,room,LC3-128,LC3-128|LC3_128|128,ห้องปฏิบัติการอิเล็กทรอนิกส์,laboratory,lc3-floor-1,1092,516,อาคาร LC3 ชั้น 1 ห้อง 128 — ห้องปฏิบัติการอิเล็กทรอนิกส์,near_toilet:LC3-F1-PRFTOILET:12|near_stairs:LC3-F1-PSTAIR-3:11,LC3_128,1052,476,
LC3-F1-R129,LC3,1,room,LC3-129,LC3-129|LC3_129|129,ห้องปฏิบัติการอิเล็กทรอนิกส์,laboratory,lc3-floor-1,1136,516,อาคาร LC3 ชั้น 1 ห้อง 129 — ห้องปฏิบัติการอิเล็กทรอนิกส์,near_toilet:LC3-F1-PRFTOILET:13|near_stairs:LC3-F1-PSTAIR-3:12,LC3_129,1096,476,
LC3-F1-R130,LC3,1,room,LC3-130,LC3-130|LC3_130|130,ห้องเก็บของ,storage,lc3-floor-1,1083,376,อาคาร LC3 ชั้น 1 ห้อง 130 — ห้องเก็บของ,near_toilet:LC3-F1-PRMTOILET:3|near_stairs:LC3-F1-PSTAIR-3:5,LC3_130,1043,336,
