event_code,event_name,room_code,day_of_week,start_time,end_time,event_type
CS100,"CS 100",LC3-105,"Monday",09:30,12:30,Class
MA437,"MA 437",LC3-105,"Tuesday",11:00,12:30,Class
MA437,"MA 437",LC3-105,"Thursday",11:00,12:30,Class
CS373,"CS 373",LC3-105,"Wednesday",08:00,09:30,Class
CS373,"CS 373",LC3-105,"Friday",08:00,09:30,Class
PE386,"PE 386",LC3-105,"Wednesday",09:30,12:30,Class
AM231,"AM 231",LC3-105,"Wednesday",13:30,15:00,Class
AM231,"AM 231",LC3-105,"Friday",13:30,15:00,Class
AM326,"AM 326",LC3-105,"Wednesday",15:00,16:30,Class
AM326,"AM 326",LC3-105,"Friday",15:00,16:30,Class
ES479,"ES 479",LC3-105,"Thursday",13:30,16:30,Class
ES469,"ES 469",LC3-105,"Friday",09:30,12:30,Class
CS100,"CS 100",LC3-106,"Monday",09:30,12:30,Class
MR446,"MR 446",LC3-106,"Tuesday",08:00,09:30,Class
MR446,"MR 446",LC3-106,"Thursday",08:00,09:30,Class
CS224,"CS 224 (NOTE: ย้ายไปเรียน บร.2 ชั้น 3)",LC3-106,"Tuesday",09:30,11:00,Class
CS224,"CS 224 (NOTE: ย้ายไปเรียน บร.2 ชั้น 3)",LC3-106,"Thursday",09:30,11:00,Class
AM447,"AM 447",LC3-106,"Tuesday",11:00,12:30,Class
AM447,"AM 447",LC3-106,"Thursday",11:00,12:30,Class
AM427,"AM 427",LC3-106,"Tuesday",13:30,15:00,Class
AM427,"AM 427",LC3-106,"Thursday",13:30,15:00,Class
MR447,"MR 447",LC3-106,"Tuesday",15:00,16:30,Class
MR447,"MR 447",LC3-106,"Thursday",15:00,16:30,Class
NP318,"NP 318",LC3-106,"Wednesday",09:30,12:30,Class
MA121,"MA 121",LC3-106,"Wednesday",13:30,16:30,Class
ES476,"ES 476",LC3-106,"Friday",09:30,12:30,Class
MA121,"MA 121",LC3-106,"Friday",13:30,15:00,Class
ES450,"ES 450",LC3-107,"Monday",09:30,12:30,Class
NP416,"NP 416",LC3-107,"Tuesday",09:30,12:30,Class
PC341,"PC 341",LC3-107,"Tuesday",13:30,15:00,Class
PC341,"PC 341",LC3-107,"Thursday",13:30,15:00,Class
CS348,"CS 348",LC3-107,"Tuesday",15:00,16:30,Class
CS348,"CS 348",LC3-107,"Thursday",15:00,16:30,Class
MA317,"MA 317",LC3-107,"Wednesday",09:30,11:00,Class
MA317,"MA 317",LC3-107,"Friday",09:30,11:00,Class
CS346,"CS 346",LC3-107,"Wednesday",11:00,12:30,Class
CS346,"CS 346",LC3-107,"Friday",11:00,12:30,Class
RT486,"RT 486",LC3-107,"Thursday",09:30,12:30,Class
CS345,"CS 345",LC3-108,"Tuesday",09:30,11:00,Class
CS345,"CS 345",LC3-108,"Thursday",09:30,11:00,Class
PC357,"PC 357",LC3-108,"Tuesday",11:00,12:30,Class
PC357,"PC 357",LC3-108,"Thursday",11:00,12:30,Class
PC244,"PC 244",LC3-108,"Wednesday",09:30,11:00,Class
PC244,"PC 244",LC3-108,"Friday",09:30,11:00,Class
CS384,"CS 384",LC3-108,"Wednesday",11:00,12:30,Class
CS384,"CS 384",LC3-108,"Friday",11:00,12:30,Class
NP218,"NP 218",LC3-108,"Wednesday",13:30,16:30,Class
PC406,"PC 406",LC3-108,"Thursday",13:30,16:30,Class
PC368,"PC 368",LC3-108,"Friday",13:30,16:30,Class
CS374,"CS 374",LC3-109,"Tuesday",08:00,09:30,Class
CS374,"CS 374",LC3-109,"Thursday",08:00,09:30,Class
CS373,"CS 373",LC3-109,"Tuesday",09:30,11:00,Class
CS373,"CS 373",LC3-109,"Thursday",09:30,11:00,Class
MA212,"MA 212",LC3-109,"Tuesday",11:00,12:30,Class
MA212,"MA 212",LC3-109,"Thursday",11:00,12:30,Class
AM341,"AM 341",LC3-109,"Wednesday",11:00,12:30,Class
AM341,"AM 341",LC3-109,"Friday",11:00,12:30,Class
CS374,"CS 374",LC3-109,"Wednesday",13:30,16:30,Class
AM347,"AM 347",LC3-109,"Thursday",13:30,16:30,Class
NP306,"NP 306",LC3-109,"Friday",13:30,16:30,Class
PC320,"PC 320",LC3-110,"Monday",09:30,12:30,Class
ES368,"ES 368",LC3-110,"Tuesday",09:30,11:00,Class
ASC332,"ASC 332",LC3-110,"Tuesday",11:00,12:30,Class
ASC332,"ASC 332",LC3-110,"Thursday",11:00,12:30,Class
CS341,"CS 341 (NOTE: ย้ายไปเรียน บร.2 ห้อง 213)",LC3-110,"Wednesday",09:30,11:00,Class
CS341,"CS 341 (NOTE: ย้ายไปเรียน บร.2 ห้อง 213)",LC3-110,"Friday",09:30,11:00,Class
ST446,"ST 446",LC3-110,"Wednesday",11:00,12:30,Class
ST446,"ST 446",LC3-110,"Friday",11:00,12:30,Class
CS346,"CS 346",LC3-110,"Wednesday",13:30,16:30,Class
NP211,"NP 211",LC3-111,"Monday",09:30,11:00,Class
MA426,"MA 426",LC3-111,"Tuesday",09:30,11:00,Class
MA426,"MA 426",LC3-111,"Thursday",09:30,11:00,Class
PC206,"PC 206",LC3-111,"Tuesday",11:00,12:30,Class
PC206,"PC 206",LC3-111,"Thursday",11:00,12:30,Class
AM436,"AM 436",LC3-111,"Wednesday",11:00,12:30,Class
AM436,"AM 436",LC3-111,"Friday",11:00,12:30,Class
CS223,"CS 223",LC3-111,"Wednesday",13:30,16:30,Class
PC417,"PC 417",LC3-111,"Thursday",13:30,16:30,Class
MA725,"MA725",LC3-115,"Tuesday",13:30,16:30,Class
MA623,"MA623",LC3-115,"Wednesday",09:30,11:00,Class
MA623,"MA623",LC3-115,"Friday",09:30,11:00,Class
MA313,"MA313",LC3-115,"Wednesday",11:00,12:30,Class
MA313,"MA313",LC3-115,"Friday",11:00,12:30,Class
MA683,"MA683",LC3-115,"Thursday",09:30,12:30,Class
ES352,"ES 352",LC3-116,"Monday",08:00,11:00,Class
NP300,"NP 300",LC3-116,"Tuesday",08:00,11:00,Class
NP300,"NP 300",LC3-116,"Thursday",08:00,11:00,Class
PC447,"PC 447",LC3-116,"Tuesday",11:00,12:30,Class
PC447,"PC 447",LC3-116,"Thursday",11:00,12:30,Class
CS384,"CS 384",LC3-116,"Wednesday",09:30,11:00,Class
CS384,"CS 384",LC3-116,"Friday",09:30,11:00,Class
AM429,"AM 429",LC3-116,"Wednesday",11:00,12:30,Class
AM429,"AM 429",LC3-116,"Friday",11:00,12:30,Class
NP300,"NP 300",LC3-116,"Thursday",16:30,18:00,Class
ES202,"ES 202",LC3-116,"Friday",13:30,16:30,Class
ES338/ES336,"ES 338 / ES 336 (ผู้สอน: อ.สรณ์)",LC3-117,"Monday",09:30,12:30,Class
NP210,"NP 210 (ผู้สอน: อ.เรวัช)",LC3-117,"Tuesday",09:30,12:30,Class
ES356,"ES 356 (ผู้สอน: อ.ป้อม)",LC3-117,"Tuesday",13:30,16:30,Class
CS265,"CS 265",LC3-117,"Wednesday",08:00,11:00,Class
BEE396,"BEE 396",LC3-117,"Thursday",09:30,12:30,Class
ASC391,"ASC 391 (ผู้สอน: อ.วราฤทธิ์)",LC3-117,"Thursday",13:30,16:30,Class
ES268,"ES 268 (ผู้สอน: อ.มารุต)",LC3-117,"Friday",09:30,12:30,Class
ES266,"ES 266 (ผู้สอน: อ.ไตรเทพ)",LC3-118,"Monday",09:30,12:30,Class
ES347,"ES 347",LC3-118,"Tuesday",09:30,12:30,Class
ES450,"ES 450",LC3-118,"Wednesday",09:30,12:30,Class
ST431,"ST 431 (ผู้สอน: อ.กมล)",LC3-118,"Wednesday",15:00,16:30,Class
ES366,"ES 366",LC3-118,"Thursday",09:30,12:30,Class
ES427,"ES 427",LC3-118,"Friday",09:30,12:30,Class
ST431,"ST 431 (ผู้สอน: อ.กมล)",LC3-118,"Friday",15:00,16:30,Class
ES345,"ES 345",LC3-118/1,"Monday",09:30,12:30,Class
PC257,"PC 257",LC3-118/1,"Monday",13:30,16:30,Class
ES416,"ES 416 (ผู้สอน: อ.ยุ้ย)",LC3-118/1,"Tuesday",09:30,12:30,Class
ES346,"ES 346 (ผู้สอน: อ.ยุ้ย)",LC3-118/1,"Tuesday",13:30,16:30,Class
ES316,"ES 316",LC3-118/1,"Wednesday",09:30,12:30,Class
ES416,"ES 416 (เรียน อ.มารุต)",LC3-118/1,"Thursday",09:30,12:30,Class
ES386,"ES 386",LC3-118/1,"Friday",09:30,12:30,Class
CS301,"CS 301",LC3-121,"Monday",09:30,12:30,Class
AM260,"AM 260 (ผู้สอน: อ.นวลักษณ์)",LC3-121,"Monday",13:30,16:30,Class
CS100,"CS 100",LC3-121,"Tuesday",08:00,09:30,Class
CS101,"CS 101 (ผู้สอน: อ.นัทนนท์)",LC3-121,"Tuesday",09:30,11:00,Class
CS102,"CS 102",LC3-121,"Tuesday",11:00,12:30,Class
CS101,"CS 101 (ผู้สอน: อ.ติ๊ก)",LC3-121,"Tuesday",13:30,15:00,Class
CS213,"CS 213",LC3-121,"Tuesday",15:00,16:30,Class
CS103,"CS 103 (ผู้สอน: อ.นัทนนท์)",LC3-121,"Wednesday",09:30,11:00,Class
CS333,"CS 333",LC3-121,"Wednesday",13:30,16:30,Class
CS100,"CS 100",LC3-121,"Thursday",08:00,09:30,Class
CS101,"CS 101 (ผู้สอน: อ.ติ๊ก)",LC3-121,"Thursday",09:30,11:00,Class
CS102,"CS 102",LC3-121,"Thursday",11:00,12:30,Class
CS101,"CS 101 (ผู้สอน: อ.ติ๊ก)",LC3-121,"Thursday",13:30,15:00,Class
CS213,"CS 213",LC3-121,"Thursday",15:00,16:30,Class
CS103,"CS 103 (ผู้สอน: อ.นัทนนท์)",LC3-121,"Friday",09:30,11:00,Class
NP214,"NP 214",LC3-121,"Friday",16:30,18:00,Class
ST349,"ST 349",LC3-122,"Monday",09:30,12:30,Class
AM460,"AM 460",LC3-122,"Monday",13:30,16:30,Class
CS100,"CS 100",LC3-122,"Tuesday",08:00,09:30,Class
CS101,"CS 101",LC3-122,"Tuesday",09:30,11:00,Class
CS102,"CS 102",LC3-122,"Tuesday",11:00,12:30,Class
CS101,"CS 101",LC3-122,"Tuesday",13:30,15:00,Class
CS213,"CS 213",LC3-122,"Tuesday",15:00,16:30,Class
CS103,"CS 103",LC3-122,"Wednesday",08:00,09:30,Class
CS103,"CS 103",LC3-122,"Wednesday",09:30,11:00,Class
